id,text
128,والغريب ان هناك من هو على كرسي متحرك ولا زال متمسك بالمنصب !!!!

129,هل منحتها لم تكفيها حتى تشتري آخر ماركة للسيارات وخرجت في دراجتها الهوائية هذ ا مجرد شد الإنتباه للرأي العام وهي حرة تخرج حتى على رجليها

130,متى يستقيل سلال و بوتفليقة و الوزراء الكلاب

131,نحن لا يستقيلون بل يموتون على الكرسي و قد نهبوا كل ثروات شعوبهم

132,يعجز اللسان عن التعبير وين هوما وين العرب ربي يسلك على خير مانعرف وين رانا رايحين بهذي العقلية ربي يفرج هذا ما نقدرو نقولو

133,ربما يوم يستقيل تميم و موزة و باقي الشيخات و الامراء و يسلمون الحكم للشعب .استاذة مازلت أنتظر ان تنزلي بوست تضامنا مع الشاعر محمد بن الذيب سجين القصيدة . ne soyez pas sélectives quand il s`agit de  solidarité et des droits de l`Homme . سيدتي لا تكوني انتقائية لما يتعلق الامر بالتضامن و بحقوق الانسان. تحياتي

134,هكذا مشهد ليس مستغربا..انها العقلية والتفكير..ولن نراه عندنا يوما..مادامت العقلية السائدة  نخرها الفساد والتخلف..برغم أن ديننا هو دين النزاهة والعدالة..ولكن ماأبعدنا عن الفعل..

135,حكامنا لايستفيلون الا ان يقيلهم الله الى القبر ونرتاح منهم

136,"سبحان الله كلنا نعلم أن الماسونيه تحكم وتتحكم بلعالم عرب وغرب وعندما نرى مسئول إنتها عهده أو إستقال نجعل منه مثالي وإنساني وبكل سزاجه نقو بيفهمو بحقوق اﻹنسان ! 
إسمها حقوق الإنسان اليهودي 
مو أي إنسان
هي أحد خططهم أن لايعملو بعقل واحد وأن يجعلونا معجبين فيهن"

137,وزيره محترمه احترمت وزارة العدل و طبقته في الوقت الازم و لم توافق علي قرار يطر العدل في البلد احترمت نفسها و استقالت و ركبت  و غادرت علي عجله مش مرسيدس اخر موديل بلاد تحترم نفسها عقبال مصر في المشمش

138,ذاك هو الخروج الشريف

139,عودة ميمونة للمطبخ

140,الشعوب تستقيل والحكام العرب استقالتهم بس لما ربنا ياخد ارواحهم النجسه

141,هذا جزء من المسلسل درامي للحكومة الفرنسية نحنو نعرف نوياك يخبيثة

142,عندنا يستقلون محملين باموال الشعب..... الخ بعد استقالتهم

143,هذه الوزيرة بنت أصل عادت إلى أصلها المحترم..

144,يبقى يحكم الشعب من تحت القبر بالويفي.

145,الأخت خديجة نعلم عنك الجرأة . ذكاء منك ان تقولي متى سيستقيل.فاكملي لنا مابين السطور.اما كبرنا نحن الشعوب في نظرك وقد سميتينا بمسيماتنا في كلمة ومتى تستقل الشعوب .لنعلم انك من طينتنا طينة الشعوب المطحونة

146,اه تميم لن يسستقيل الملوك و الامراء جالسسون حتى الموت

147,Sans retour

148,"Setifian Dz
لا تتكلم عن الناس واترك الناس لحالها..الذي فيك يكفيك."

149,مجرد تمثيل تبحث عن الشهرة

150,ياوزراء الجزاءر يا سيدي استقيلوا وغادروا في الليموزين .......

151,نحن لا توجد لنا حتى درجات لنستقيل منهم و لسوء الحظ البعض إستقل قوارب الموت

152,ستعيينا ديمقراطية الغرب لكن قبل ذلك سيعلمون بأن أمرهم بات مفضوحا و لن يسعهم إلا التعامل بعنصرية مرة أخرى فبالرغم من هذه  التحيات  التي تتهاطل من الغرب فإن الحق حق و الباطل باطل ليس لأننا نتقبل هذا أو ذاك و أحيانا بالعنف فإننا حقا راضون كلا لن يحدث ذلك و لسنا بلداء لنخدع و بسهولة رأيت من الناس من يتفانى في إرضائك من بعد جداله بالباطل و سنه الباطل و إيلا  حشمتيه هيت لك .

153,متى يعرف المسؤول (رئيس او وزير او ....) في بﻻدنا أنه موظف في هذه الدولة وعندما تنتهي مهمته او فترته او لم يحقق مهمته عليه أن يغادر ويترك منصبه ﻻخر يقوم بالمهمة خدمة لبلده ووطنه وشعبه .. متى يصبح إنساناً وليس إلهاً ملهماً مقدساً...متى ؟؟؟......!!!

154,صفعة لعشاق الكراسي. ههههههه

155,لاخظ الفارق لو كانت وزيرة مغربية هي التي استقالت من منصبها لرأيتها تستقيل رونج روفر أو لبورش. كم خيراتك كثيرة ياوطني مهما كثر المفسدين. وزيرة جوج فرانك

156,لا يوجد اصلا وجه مقارنة.هم فوق ونحن.....

157,شكراً

158,لما  ينور الملح

159,"هى تستقيل لتعطي من أجدر منها ليكمل المشوار. 
أما نحن العرب فعندنا الاستقالة فى ثلاث حالات :
الانقلاب
الموت
الترقية"

160,حتى يدودو يكلهم الدود

161,شخصية رائعة

162,إنها عدالة السماء

163,يا عراب حكاما وشعبا عودو الى دينكم وربكم ونبيكم تصبحون خيرا منهم كما اوصنا نبينا محمد ص ادا تمسكنا بالقران والسنة فلن نضيع ابدا ونحن تركنهم وتبعنا الشيطان ولليهود والنصارى

164,"نحن العرب شعوب تحكمنا الواسطات والمراكز ,, يتطلعون لابن العشيرة وابن العائلة الكبيرة بعيدا عن ثقافته ,, يتطلعون بما يمتلكه هذا الشخص من ماديات ومن املاك وكل ما يتطلب ,, بعيدا عن ثقافته العلمية وبعيدا عن خلقه واتجاهه يتم انتخابه ليقال انه ابن عائلة وصاحب شأن ,, وفي الحقيقة يكون جاهلا متخلفا ,, تجده بعد الانتخاب يجلس بسيارته الفخمة ويرفع رأسه بكبريائه وجميع الناس يخدمونه وهم متعال عليهم ,, ما عليه فقط الا الأمر والنهي ,, ولكن بالحقيقة المنصب لا يدوم لأحد وكل سيرجع كما كان وحتى وان طالت السنين ,, ماذا سنكسب من تمادينا ومن تعاملنا المعجرف مع الناس ؟!! سيرجع كل لأصله وسيحاسب على فعلته ان لم يكن بهذه الدنيا الفانية فانما سيكون امام الله الحاكم أعدل العادلين ,, كلنا سواسي امام رب العرش العظيم ,, لا فرق بين ملك ولا فقير ولا ابيض ولا أسود ,, فلم نتكبر ونتعجرف وفي يقين انفسنا نعرف الصواب ومع ذلك نتمادى فيه ونتنكّره ليقال عنا كذا وكذا ,, ولا ننظر لمن ظلمناهم ولمن أكلنا حقوقهم على حساب فشخرتنا ,, اللهم ثبتنا على دينك القويم .."

165,تواضع

166,هم يبقي التاريخ يذكرهم لخصالهم

167,اتحدى اي مسؤول عربي ان يركب دراجة او يسير وسط الشارع بعد ابعاده عن منصبه...... سيموت او يذل من قبل شعبه..... لانه كان نمرود زمانه عندما كان صاحب منصب

168,ولا  حتستقل الشعوب

169,شتان شتان بين هذا و ذاك

170,Bravo madame

171,"الشعوب استقالت
قصدك متى يستقيل الروؤساء
ولا خايفة من رئيس قطر"

172,كريستينا توبيراااا، لا استبعد انها فعلت ذلك من اجل اهداف سياسيه

173,سؤال و جواب :اول دولة يحكمها رئيس على كرسي متحرك...صاحب الاجابة الصحيحة ينال حرقة لشخصين على مثن قارب من نوع رفيع .

174,Merci madame  toubira

175,بدون اي تعليق.

176,نفوس راقية نقية واثقة من نفسها

177,ناس بتفهم

178,يفضح عرضك يا عبسي يا مقرن

179,حسبي الله ونعم الوكيل

180,حسبيا الله و نعم الوكيل .

181,"قصدك مخابرات السلطة العميلة
كلاب الاحتلال لعنهم الله من عباس لاصغر راس فيهم"

182,لا حول ولا قوة إلا بالله العلي العظيم

183,عباس أصبح ألعن من إبليس وشارون والسيسي مجتمعين

184,"مخابرات عباس عميل اليهود
حسبنا الله ونعم الوكيل ربنا ينتقم من كل عدو للإسلام والمسلمين"

185,أسد علي وفي الحروب نعامة

186,السلطه جزء لا يتجزأمن كيان الإحتلال الصهيوني فلا عجب !

187,السلطة العميلة الخائنة بقيادة عباس

188,حسبي الله ونعم الوكيل في كلاب حراسة الصهاينة المجرمين

189,عاهرات السلطة عباس الهرم

190,"WALLAHI 3ALEM 3ARABI JAHEL , ALL Arab presidents work just for there won benefit, only there family, but there people can be dead. ITS OK."

191,كلاب الصهاينة سينتقم الله منهم

192,الله اكبر على من طغى وتجبر ��

193,\/حسبي الله ونعم الوكيل على كل من طغى وتجبر

194,لا حول ولا قوة إلا بالله

195,لا لا كلش انقهرت

196,حسبنا الله ونعم الوكيل

197,الله يحفظك انته ول زيك وينصركم

198,الكلاب في كل حته

199,"- سرقوا  من فلسطين الليمون ونحن نائمون
- حرقوا نخيل عراقنا الميمون ونحن نائمون
- طعنوا قلب اليمن الحنون ونحن نائمون 
- انقلبوا على مصر في سكون ونحن نائمون
- دمرو الشام  ولازالوا يدمرون  ونحن نائمون
فيا أمة النيام أخبروني لماذا من كتاب ربكم لاتحفظون سوى قوله تعالى
إنا لله وإنا إليه راجعون!"

200,حسبنا الله ونعم الوكيل

201,نقرأ كثيرا ان العدو كان شديدا ومجرما في قتالنا فنبحث بين السطور فنجد ان بني جلدتنا اشرس واجرم من العدو فينا

202,"سلطه الخيانه والعماله التي لا تخدم الا مصلحه المحتل 
تباً لهذه السلطه وقياداتهم المتعفنه"

203,اذا الجهاد في السلطة الكلاب

204,عليكم لعنة الله ياعملاء الإحتلال عباس ودحلان التاريخ سيسجل انكم خونة خنتم شعوبكم ولم تكونو عونا له في الشدائد بل وقفتم ضد إرادت شعوبكم عليكم اللعنة

205,حمدا للسلامه

206,لا حول ولا قوة إلا بالله العلي العظيم

207,لولا الخونه في عالمنا العربي ما قام المجرمين قائمه  اللهم عليك بالخونه حكام العرب

208,حسبي الله في سلطه ومخابراته

209,"السلطة ومخابراتها اسوء من اسرائيل بكثير... يستحيل ان تفعل اسرائيل بشعبها ما تفعله السلطة في أبناء شعبها
لا حول لا قوة الا بالله"

210,حسبي الله ونعم الوكيل

211,مسكين شب صغير .. حسبي الله ونعم الوكيل ع كل ظالم

212,حسبنا الله و نعم الوكيل فى كل معتد و كل ظالم يا رب بعزتك و قوتك تخلصنا من كل هؤلاء المجرمين الذين استباحوا البلاد و العباد

213,اعتقد و الله أعلم أن محاربة سلطة عباس أولى من محاربة إسرائيل لأنها هي التي تحمي هذا الكيان..

214,السلطة عملااااء  للصهيونية

215,اي شو هالسلطة...طزززززز

216,لا حول ولا قوة إلا بالله

217,مفروض نقول قامت المخابرات الفرع بإعتقال.................!!!

218,لا جديد على نذالتهم

219,سلطه فاشله

220,وقع في يد كلاب ضالة

221,قصدك اخت خديجة السلطة التي نتكون من الخضروات

222,تقصد السلطة الفلسرائيلة

223,اجهزة السلطة هي أكبر عائق للاستقلال

224,حسبي الله ونعم الوكيل فيهم الظالمين المجرمين بخلص من الحتلال بسكوهم المجرمين العمله الخون الحراميه ربنار ينتقم منهم

225,خنازير

226,الله محي اصلك سيده خديجه بن قنه من أولويات اهتماماتك اخبار فلسطين لكي كل الاحترام

227,حسبي الله ونعم الوكيل

228,كلاب يهود

229,حسبنا ألله ونعم الوكيل

230,امر عادي

231,اللهم خذ الظالمين بظلمهم آمين يا رب العالمين

232,حسبي الله ونعم الوكيل فيهم

233,لم ارى شعب ينكوي من جهتين...وذى القربى اشد مضاضة !!!! الله يرحم ابو عمار...

234,Ana adhono ana hokamana kolohom 3omala el isseti3emar!!! Fa thawera el 9adima takoune thawerete el ISSETI9ELALE!?

235,حسبنا الله ونعم الوكيل

236,انا لله وانا اليه راجعون

237,الله لا يوفقهم كلاب.... حسبنا الله ونعم الوكيل فيهم

238,في حوار لزعيم عربي راحل حول العمالة قال إذا ذخرت مسدسك بعشر رصاصات فخصص تسعا منها للعملاء والخونة وواحدة للعدو .

239,حسبي الله ونعم الوكيل.

240,سلطه الذل والعار تفوووووووووو و  وو على هيك سلطه خائنه وعميله ومنحطه

241,يكسر ايديهم

242,حسبى الله ونعم الوكيل اللهم انتقم من امريكا واسرائيل والحقهم بعاد وثمود وارنا فيهم عجائب قدرتك وانزل عليهم اليم عقابك واحرق قلوبهم كما حرقوا قلوبنا على المسلمين

243,حسبنا الله ونعم الوكيل

244,جد صدق الي قال قيادة قوادة من راسها لاساسها فتح الانتفاضه حكتولو ما يضع القضيه الا اشكالهم

245,مخابرات السلطة منايك زي كبيرهم عباس !

246,يلعن والدينهم السلطه

247,سلطة العهر والخيانه

248,السلطة الفلسطينة خون مع اسرائيل اصلا عادي

249,سلطه كلها خرفان إسرائيل

250,حسبي الله ونعم الوكيل اصبحنا في فلسطين لا نفرق عن باقي الدول العربيه من قمع لشعوب لو كانت دولتنا ذات سياده ماذا فعلت بنا هل اصبح التضامن الاخ مع الاخ جريمه يعاقب عليها القانون هل اصبح اليهودد علينا وانتم ايضا هذا الشي لا يقبله عقل ولا دين كفاكم قمع لابنائنا وشبابنا الا يكفي انهم يضحون بارواحهم لاجل الوطن ماذا تريدون منا ومن نصبكم علينا

251,السلطة لا تمثل الا الاحتلال الاسرائيلي ،و عباس الوجه الاخر لنتنياهو

252,الله ينتقم منهم

253,عباس بعلن يهوديته امام العالم

254,حسبنا الله ونعم الوكيل

255,اللله يارب يكسر ايديهم

256,خديجه خليكي بخاخامات قطر الي معبيين عنيكي وما تقعدي تفتني بالضفه

257,لو اعتقلته إسرائيل كان خيرا له  على الأقل من طرف عدو وليس عميل

258,قصدك مخابرات اليهود وليست السلطه فهي من صنعة اليهود

259,الله يكسر ايديهم ويهدهم

260,عليكم إزاله عباس قبل الاحتلال عباس اخطر من الاحتلال

261,"سلطة الخيانة 
سلطة العمالة
سلطة حبر علي ورق
سلطة تخدم العدو اي سلطة هذه"

262,الخونة هم من أخروا انتصار أمتنا وأخروا تحرير فلسطين. لكن الله فضحهم على رؤوس الأشهاد.

263,الصهاين العرب

264,عادي

265,A lem akol lakoum  alef el marrates  in lem takdou 3ala Abou Mazen wa soltatihi  fa innahoum sayakdouna  3ala el kadiya el filistiniya nihayian . li annahoum kabadou etamen !

266,Hasbona Allah wa niima wakil

267,الصلطة بدل ان تحمي شباب المقاومة ،،اذ بها تعتقلهم وتعدبهم ياللعار ..... ستكشفكم الامة لامحال يا خائن لن تنعم ابدا ودماء الشهداء تروي الارض الطيبة ،،،،،،،،،،

268,ماشاء الله عليك بطل يستحق الاحترام

269,بل هذا اخبث من الاحتلال الإسرائيلي يا اخي ايمن

270,قنات فتنه حسبي الله عليكي

271,لا يوجد شي اسمه #شرطه_فلسطينه__؟؟؟ الشرطه الي موجوده في فلسطين هي فقط لحمايه الاحتلال والاستيطان

272,بدى اقول للسلطة الفلسطينية وحدوه    لا الاه الا الله محمد رسول الله يا خونة

273,الله يقويه

274,ALLAH LA TRABHOUM

275,شكرا

276,خخخخخحممم

277,Mn skikda dima dk

278,Raby iberk fik

279,J`ai des photos mieux que ça

280,الله لاتربحهم من طغو في البلاد ونشرو فيها الفساد ياريت يأتي الفرج

281,الله لاتربحكم

282,هيا اصحيبي لا لدعواة الدعوة ونعم لدعوة الداعي

283,Majhad khoya lotfi

284,بارك الله فيك <3

285,الله لا يربحهم

286,يا ولله ما رهم سامعين بيكم

287,حاسب نفسك قبل ان تحاسب الناس

288,الله لا تربحكم

289,O`k lotfi bidoun tandid

290,الله لاه تربحهم راهم كلاونا

291,لطفي أنت قدوة الله يحفظك

292,شكرا.اخي

293,Avec toi depuis1999

294,بارك الله فيك

295,الله  لا تربحكم

296,الله لا تربحهم

297,خلاصت علينا حنا

298,الله لاتربحكم

299,الله لا تربحكم غليتو المعيشا وقتلتو زاوالي

300,"allah la tbahakoum 3ajal kol rajel mat 
allah ka trabahkoym 3ajal koul mrra matet 
allah la tbahakoum 3ajal koul tfol w tofla malayka mato 
allah la trabahkom 3ajal koul 9otra dem seyehtoha 
allahoma 3a9ibhom fil ardi 9abla sama 
allahoma charidhom kma charado 3ailatna 
allahom i9lab al arda asfalahom mtla 3ada w tamoud 
allahom ika 9radat w khnazir mitla al yahoud 
allahom ij3alhom min ahli anar w min 3a9bitha 
amin"

301, الله لا تربحكم يا الدولة

302,آي بركاكوم من الجياحة تعرفو غير تبعو أغبياء جبناء

303,"الله لا تربحكم,يا الفقاقير ,لطفي دوووووبل كانوووووو,والله ياسر ياسر,ربي يبارك فيك,"

304,حسبنا الله و نعم الوكيل في الظالمين الكاذبين الماكرين الحاسدين الخائنين

305,حسبي الله و نعم الوكيل فكل مفسد في الجزائر

306,الله لا تربحهم ما خلاو الشعب هعيش ترونكيل مي تسقاملهم كحلة في الدنيا و الاخرة تحيا خويا لطفي

307,الله لا تربحكم فور لطفي د.ك

308,ديما فووور لطفي :)

309,لطفي كم اعجبتني هاته الاغنية الله لا تربحهم حقيقة...لقد فرجت على قلبي

310,Lhala trabhak lotfi chayat

311,الحق هو الحق ليوم الدين

312,4444444 rabi m3ak

313,الله لا تربحكم

314,أبهر أصدقائك من اليوم فصاعدا �� أحصل على ألاف لايكات الأتوماتيكية لمنشوراتك من خلال هذا الموقع �� www.ste .pw ��

315,وحنا لبنات ممنوع

316,rana nmouto 3lik

317,hhhhhhg rak day men tklachi ;)

318,لا تخريب وتنديد راهم كرهونا خلاص فض الصبر بزاف حڨرو الشعب يعطيها لخلا تخلا في بلادك أو تتحڨر في بلادك ومغرب مع كل احترماتي خوتي انا كرهت لبلاد هدي كرهولنا احياتنا

319,vive DK konetera 3elihem hebibi

